element_type,osmid,name,tourism,geometry,start_date,nodes,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,brand,brand:wikidata,building,designation,phone,shop,toilets,website,wheelchair,amenity,operator,self_service,cuisine,official_name,healthcare,addr:country,email,layer,source,brand:wikipedia,alt_name,drive_through,opening_hours,ref,takeaway,atm,internet_access,building:levels,wikidata,addr:unit,ele,gnis:feature_id,denomination,religion,historic,tomb,townhall:type,access,toilets:disposal,unisex,description,operator:type,office,craft,leisure,note,telecom,check_date,social_centre:for,architect,level,healthcare:counselling,operator:wikidata,operator:website,operator:wikipedia,building:part,shelter_type,bench,generator:method,generator:output:electricity,generator:source,generator:type,power,ways,type
way,955918560,,,"POLYGON ((-121.4257851 37.7304641, -121.4257872 37.730432, -121.4258381 37.7304341, -121.425836 37.7304662, -121.4257851 37.7304641))",,"[8846999980, 8846999981, 8846999982, 8846999983, 8846999980]",,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918561,,,"POLYGON ((-121.4251884 37.7306218, -121.4253289 37.7306136, -121.4253217 37.7305361, -121.4251812 37.7305442, -121.4251884 37.7306218))",,"[8846999985, 8846999986, 8846999987, 8846999988, 8846999985]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918562,,,"POLYGON ((-121.424654 37.731059, -121.424654 37.731065, -121.424535 37.731066, -121.424536 37.731181, -121.424693 37.731179, -121.424691 37.731058, -121.424654 37.731059))",,"[8846999989, 8846999990, 8846999991, 8846999992, 8846999993, 8846999994, 8846999989]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918563,,,"POLYGON ((-121.424678 37.730259, -121.424715 37.730259, -121.424715 37.730352, -121.424809 37.730352, -121.424809 37.730199, -121.424678 37.730199, -121.424678 37.730259))",,"[8846999995, 8846999996, 8846999997, 8846999998, 8846999999, 8847000000, 8846999995]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918564,,,"POLYGON ((-121.424428 37.730363, -121.424527 37.730363, -121.424527 37.730278, -121.424428 37.730278, -121.424428 37.730363))",,"[8847000001, 8847000002, 8847000003, 8847000004, 8847000001]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918565,,,"POLYGON ((-121.424571 37.730416, -121.424458 37.730417, -121.424459 37.730489, -121.424669 37.730487, -121.424667 37.730349, -121.42457 37.73035, -121.424571 37.730416))",,"[8847000005, 8847000006, 8847000007, 8847000008, 8847000009, 8847000010, 8847000005]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918566,,,"POLYGON ((-121.425002 37.730244, -121.424852 37.730244, -121.424852 37.730384, -121.425002 37.730384, -121.425002 37.730244))",,"[8847000011, 8847000012, 8847000013, 8847000014, 8847000011]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918567,,,"POLYGON ((-121.42531 37.730309, -121.425309 37.7302, -121.425158 37.730201, -121.42516 37.730385, -121.425251 37.730384, -121.42525 37.730309, -121.42531 37.730309))",,"[8847000015, 8847000016, 8847037917, 8847037918, 8847037919, 8847037920, 8847000015]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918568,,,"POLYGON ((-121.425869 37.729921, -121.425979 37.729921, -121.425979 37.729805, -121.425869 37.729805, -121.425869 37.729921))",,"[8847037921, 8847037922, 8847037923, 8847037924, 8847037921]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918569,,,"POLYGON ((-121.426098 37.729804, -121.426099 37.729918, -121.426233 37.729918, -121.426232 37.729803, -121.426098 37.729804))",,"[8847037925, 8847037926, 8847037927, 8847037928, 8847037925]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918570,,,"POLYGON ((-121.426316 37.729762, -121.426316 37.729894, -121.426432 37.729894, -121.426432 37.729762, -121.426316 37.729762))",,"[8847037929, 8847037930, 8847037931, 8847037932, 8847037929]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918571,,,"POLYGON ((-121.425926 37.729679, -121.426056 37.729678, -121.426053 37.729511, -121.425923 37.729512, -121.425926 37.729679))",,"[8847037933, 8847037934, 8847037935, 8847037936, 8847037933]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918572,,,"POLYGON ((-121.425906 37.729484, -121.426019 37.729484, -121.426019 37.729372, -121.42611 37.729372, -121.42611 37.729296, -121.425906 37.729296, -121.425906 37.729484))",,"[8847037937, 8847037938, 8847037939, 8847037940, 8847037941, 8847037942, 8847037937]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918573,,,"POLYGON ((-121.426198 37.729215, -121.426198 37.729419, -121.426392 37.729419, -121.426392 37.729215, -121.426198 37.729215))",,"[8847037943, 8847037944, 8847037945, 8847037946, 8847037943]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918574,,,"POLYGON ((-121.4262598 37.7296339, -121.4262622 37.7295395, -121.4264049 37.7295419, -121.4264025 37.7296362, -121.4262598 37.7296339))",,"[8847037947, 8847037948, 8847037949, 8847037950, 8847037947]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918575,,,"POLYGON ((-121.4262626 37.7295261, -121.4262626 37.729454, -121.4261755 37.729454, -121.4261755 37.7295676, -121.4262208 37.7295677, -121.4262208 37.7295261, -121.4262626 37.7295261))",,"[8847037951, 8847037952, 8847037953, 8847037954, 8847037955, 8847037956, 8847037951]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918576,,,"POLYGON ((-121.425692 37.728702, -121.425734 37.728702, -121.425734 37.728759, -121.425874 37.728759, -121.425874 37.728638, -121.425692 37.728638, -121.425692 37.728702))",,"[8847037957, 8847037958, 8847037959, 8847037960, 8847037961, 8847037962, 8847037957]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918577,,,"POLYGON ((-121.425696 37.728478, -121.425695 37.728553, -121.425917 37.728555, -121.425919 37.728426, -121.425773 37.728425, -121.425773 37.728479, -121.425696 37.728478))",,"[8847037963, 8847037964, 8847037965, 8847037966, 8847037967, 8847037968, 8847037963]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918578,,,"POLYGON ((-121.425692 37.728276, -121.425692 37.728335, -121.425736 37.728335, -121.425735 37.728391, -121.425871 37.728391, -121.425872 37.728277, -121.425692 37.728276))",,"[8847037969, 8847037970, 8847037971, 8847037972, 8847037973, 8847037974, 8847037969]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918579,,,"POLYGON ((-121.425694 37.728122, -121.425695 37.728182, -121.425732 37.728181, -121.425733 37.728239, -121.425873 37.728237, -121.425871 37.72812, -121.425694 37.728122))",,"[8847037975, 8847037976, 8847037977, 8847037978, 8847037979, 8847037980, 8847037975]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918580,,,"POLYGON ((-121.425713 37.72808, -121.425903 37.72808, -121.425903 37.727963, -121.425743 37.727963, -121.425743 37.728019, -121.425713 37.728019, -121.425713 37.72808))",,"[8847037981, 8847037982, 8847037983, 8847037984, 8847037985, 8847037986, 8847037981]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918581,,,"POLYGON ((-121.425697 37.727934, -121.425922 37.727934, -121.425922 37.727813, -121.425775 37.727813, -121.425775 37.72787, -121.425697 37.72787, -121.425697 37.727934))",,"[8847037987, 8847037988, 8847037989, 8847037990, 8847037991, 8847037992, 8847037987]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918582,,,"POLYGON ((-121.425898 37.727796, -121.425898 37.727775, -121.42596 37.727775, -121.42596 37.72768, -121.425812 37.727679, -121.425812 37.727739, -121.425734 37.727739, -121.425734 37.727796, -121.425898 37.727796))",,"[8847037993, 8847037994, 8847037995, 8847037996, 8847037997, 8847037998, 8847037999, 8847038000, 8847037993]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918583,,,"POLYGON ((-121.425995 37.727521, -121.425844 37.72752, -121.425843 37.727582, -121.425768 37.727581, -121.425767 37.727636, -121.425993 37.727639, -121.425995 37.727521))",,"[8847038001, 8847038002, 8847038003, 8847038004, 8847038005, 8847038006, 8847038001]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918584,,,"POLYGON ((-121.425879 37.72749, -121.426019 37.72749, -121.426019 37.727374, -121.425842 37.727374, -121.425842 37.727435, -121.425879 37.727435, -121.425879 37.72749))",,"[8847038007, 8847038008, 8847038009, 8847038010, 8847038011, 8847038012, 8847038007]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918585,,,"POLYGON ((-121.425914 37.727215, -121.425914 37.72728, -121.425871 37.72728, -121.425871 37.727331, -121.426056 37.727331, -121.426056 37.727215, -121.425914 37.727215))",,"[8847038013, 8847038014, 8847038015, 8847038016, 8847038017, 8847038018, 8847038013]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918586,,,"POLYGON ((-121.425958 37.72711, -121.426082 37.727166, -121.42619 37.727014, -121.426065 37.726959, -121.425958 37.72711))",,"[8847038019, 8847038020, 8847038021, 8847038022, 8847038019]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918587,,,"POLYGON ((-121.426373 37.727157, -121.426379 37.726975, -121.426298 37.726973, -121.426296 37.727064, -121.426221 37.727063, -121.426218 37.727154, -121.426373 37.727157))",,"[8847038023, 8847038024, 8847038025, 8847038026, 8847038027, 8847038028, 8847038023]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918588,,,"POLYGON ((-121.426204 37.727323, -121.426341 37.727323, -121.426341 37.727268, -121.426378 37.727268, -121.426378 37.727206, -121.426316 37.727206, -121.426316 37.727172, -121.426239 37.727172, -121.426239 37.72721, -121.426174 37.72721, -121.426174 37.727246, -121.426204 37.727246, -121.426204 37.727323))",,"[8847038029, 8847038030, 8847038031, 8847038032, 8847038033, 8847038034, 8847038035, 8847038036, 8847038037, 8847038038, 8847038039, 8847038040, 8847038029]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918589,,,"POLYGON ((-121.42615 37.727346, -121.42615 37.727467, -121.426384 37.727467, -121.426384 37.727386, -121.426306 37.727386, -121.426306 37.727346, -121.42615 37.727346))",,"[8847038041, 8847038042, 8847038043, 8847038044, 8847038045, 8847038046, 8847038041]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918590,,,"POLYGON ((-121.42633 37.727588, -121.42633 37.727522, -121.426153 37.727522, -121.426153 37.727641, -121.426292 37.727641, -121.426292 37.727588, -121.42633 37.727588))",,"[8847038047, 8847038048, 8847038049, 8847038050, 8847038051, 8847038052, 8847038047]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918591,,,"POLYGON ((-121.426224 37.727772, -121.426378 37.727772, -121.426378 37.727707, -121.426333 37.727707, -121.426333 37.727658, -121.426148 37.727658, -121.426148 37.727747, -121.426224 37.727747, -121.426224 37.727772))",,"[8847038053, 8847038054, 8847038055, 8847038056, 8847038057, 8847038058, 8847038059, 8847038060, 8847038053]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918592,,,"POLYGON ((-121.426303 37.727813, -121.42615 37.727813, -121.42615 37.727912, -121.426215 37.727912, -121.426215 37.727934, -121.426384 37.727934, -121.426384 37.72787, -121.426303 37.72787, -121.426303 37.727813))",,"[8847038061, 8847038062, 8847038063, 8847038064, 8847038065, 8847038066, 8847038067, 8847038068, 8847038061]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918593,,,"POLYGON ((-121.426381 37.728023, -121.426381 37.727962, -121.426191 37.727962, -121.426191 37.72808, -121.426341 37.72808, -121.426341 37.728023, -121.426381 37.728023))",,"[8847038069, 8847038070, 8847038071, 8847038072, 8847038073, 8847038074, 8847038069]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918594,,,"POLYGON ((-121.426155 37.728127, -121.426155 37.728237, -121.426311 37.728237, -121.426311 37.728127, -121.426155 37.728127))",,"[8847038075, 8847038076, 8847038077, 8847038078, 8847038075]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918595,,,"POLYGON ((-121.426381 37.728267, -121.426226 37.728268, -121.426226 37.728296, -121.426148 37.728296, -121.426149 37.728395, -121.426302 37.728394, -121.426302 37.728335, -121.426382 37.728335, -121.426381 37.728267))",,"[8847038079, 8847038080, 8847038081, 8847038082, 8847038083, 8847038084, 8847038085, 8847038086, 8847038079]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918596,,,"POLYGON ((-121.4262944 37.7286141, -121.4261424 37.7286158, -121.426141 37.7285361, -121.426293 37.7285344, -121.4262944 37.7286141))",,"[8847038089, 8847038090, 8847038091, 8847038092, 8847038089]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918597,,,"POLYGON ((-121.426236 37.7287455, -121.4263917 37.7287466, -121.4263931 37.7286183, -121.426299 37.7286176, -121.4262987 37.7286373, -121.4262866 37.7286372, -121.4262863 37.7286614, -121.4262369 37.7286611, -121.426236 37.7287455))",,"[8847038093, 8847038094, 8847038095, 8847038096, 8847038097, 8847038098, 8847038099, 8847038100, 8847038093]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918598,,,"POLYGON ((-121.426517 37.72657, -121.426463 37.726626, -121.426552 37.726679, -121.426606 37.726623, -121.426517 37.72657))",,"[8847038101, 8847038102, 8847038103, 8847038104, 8847038101]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918599,,,"POLYGON ((-121.42684 37.726758, -121.42684 37.726714, -121.426807 37.726714, -121.426807 37.72661, -121.426652 37.72661, -121.426652 37.726758, -121.42684 37.726758))",,"[8847038105, 8847038106, 8847038107, 8847038108, 8847038109, 8847038110, 8847038105]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918600,,,"POLYGON ((-121.427066 37.726639, -121.426883 37.72664, -121.426883 37.726808, -121.427067 37.726808, -121.427066 37.726639))",,"[8847038111, 8847038112, 8847038113, 8847038114, 8847038111]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918601,,,"POLYGON ((-121.427116 37.726646, -121.427116 37.726814, -121.427277 37.726814, -121.427277 37.726646, -121.427116 37.726646))",,"[8847038115, 8847038116, 8847038117, 8847038118, 8847038115]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918602,,,"POLYGON ((-121.427348 37.726657, -121.42735 37.72681, -121.427551 37.726808, -121.427549 37.726655, -121.427348 37.726657))",,"[8847038119, 8847038120, 8847038121, 8847038122, 8847038119]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918603,,,"POLYGON ((-121.426763 37.726483, -121.426802 37.726358, -121.426656 37.726329, -121.426617 37.726454, -121.426763 37.726483))",,"[8847038123, 8847038124, 8847038125, 8847038126, 8847038123]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918604,,,"POLYGON ((-121.427014 37.726444, -121.42695 37.726444, -121.42695 37.726406, -121.426853 37.726406, -121.426853 37.726565, -121.426968 37.726565, -121.426968 37.726536, -121.427014 37.726536, -121.427014 37.726444))",,"[8847038127, 8847038128, 8847038129, 8847038130, 8847038131, 8847038132, 8847038133, 8847038134, 8847038127]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918605,,,"POLYGON ((-121.427146 37.726565, -121.427294 37.726545, -121.42727 37.726435, -121.427123 37.726455, -121.427146 37.726565))",,"[8847038135, 8847038136, 8847038137, 8847038138, 8847038135]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918606,,,"POLYGON ((-121.427498 37.726328, -121.42731 37.726289, -121.42727 37.726408, -121.427458 37.726447, -121.427498 37.726328))",,"[8847038139, 8847038140, 8847038141, 8847038142, 8847038139]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918607,,,"POLYGON ((-121.427336 37.726101, -121.427336 37.726207, -121.4274 37.726207, -121.4274 37.726247, -121.427505 37.726247, -121.427505 37.726101, -121.427336 37.726101))",,"[8847038143, 8847038144, 8847038145, 8847038146, 8847038147, 8847038148, 8847038143]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918608,,,"POLYGON ((-121.426954 37.726142, -121.426976 37.72602, -121.426781 37.725999, -121.42676 37.72612, -121.426954 37.726142))",,"[8847038149, 8847038150, 8847038151, 8847038152, 8847038149]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918609,,,"POLYGON ((-121.426996 37.725863, -121.426784 37.725842, -121.426765 37.725963, -121.426904 37.725977, -121.426911 37.725933, -121.426983 37.72594, -121.426996 37.725863))",,"[8847038153, 8847038154, 8847038155, 8847038156, 8847038157, 8847038158, 8847038153]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918610,,,"POLYGON ((-121.427459 37.725946, -121.42729 37.725946, -121.42729 37.726012, -121.427355 37.726012, -121.427355 37.726069, -121.427459 37.726069, -121.427459 37.725946))",,"[8847038159, 8847038160, 8847038161, 8847038162, 8847038163, 8847038164, 8847038159]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918611,,,"POLYGON ((-121.427481 37.725785, -121.427282 37.725785, -121.427282 37.72591, -121.427481 37.72591, -121.427481 37.725785))",,"[8847038165, 8847038166, 8847038167, 8847038168, 8847038165]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918612,,,"POLYGON ((-121.426775 37.725679, -121.426745 37.725799, -121.426939 37.72583, -121.426957 37.725758, -121.426885 37.725747, -121.426898 37.725698, -121.426775 37.725679))",,"[8847038169, 8847038170, 8847038171, 8847038172, 8847038173, 8847038174, 8847038169]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918613,,,"POLYGON ((-121.426868 37.725578, -121.426893 37.725516, -121.426759 37.725483, -121.42671 37.725604, -121.426906 37.725653, -121.426929 37.725593, -121.426868 37.725578))",,"[8847038175, 8847038176, 8847038177, 8847038178, 8847038179, 8847038180, 8847038175]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955918614,,,"POLYGON ((-121.427049 37.725473, -121.426999 37.725336, -121.426873 37.725365, -121.426923 37.725501, -121.427049 37.725473))",,"[8847038181, 8847038182, 8847038183, 8847038184, 8847038181]",,,,,,,,,yes,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919440,,,"POLYGON ((-121.4246985 37.7325194, -121.4247612 37.7323549, -121.4246744 37.7323342, -121.4245821 37.7325763, -121.4247048 37.7326055, -121.4247344 37.7325279, -121.4246985 37.7325194))",,"[8847035885, 8847035886, 8847035887, 8847035888, 8847035889, 8847035890, 8847035885]",,,,,,,,,house,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919441,,,"POLYGON ((-121.424903 37.7323934, -121.4248124 37.7323794, -121.4247792 37.7325133, -121.4248699 37.7325273, -121.424903 37.7323934))",,"[8847035891, 8847035892, 8847035893, 8847035894, 8847035891]",,,,,,,,,house,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919442,,,"POLYGON ((-121.4251793 37.7325729, -121.425082 37.7325679, -121.4250747 37.7326559, -121.425172 37.732661, -121.4251793 37.7325729))",,"[8847035895, 8847035896, 8847035897, 8847035898, 8847035895]",,,,,,,,,house,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919443,,,"POLYGON ((-121.4253706 37.7324087, -121.4253733 37.7325472, -121.4254619 37.7325462, -121.4254593 37.7324077, -121.4253706 37.7324087))",,"[8847035899, 8847035900, 8847035901, 8847035902, 8847035899]",,,,,,,,,house,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919444,,,"POLYGON ((-121.4253726 37.7327327, -121.4253736 37.7325861, -121.4254621 37.7325865, -121.4254611 37.7327331, -121.4253726 37.7327327))",,"[8847035903, 8847035904, 8847035905, 8847035906, 8847035903]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919445,,,"POLYGON ((-121.4253488 37.7326219, -121.4253576 37.7324446, -121.425217 37.7324402, -121.4252136 37.7325084, -121.4252483 37.7325095, -121.4252429 37.7326186, -121.4253488 37.7326219))",,"[8847035907, 8847035908, 8847035909, 8847035910, 8847035911, 8847035912, 8847035907]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919446,,,"POLYGON ((-121.4253548 37.7327156, -121.4251922 37.7327111, -121.425196 37.7326249, -121.4253587 37.7326294, -121.4253548 37.7327156))",,"[8847035913, 8847035914, 8847035915, 8847035916, 8847035913]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,955919447,,,"POLYGON ((-121.4258509 37.7329004, -121.425855 37.7329906, -121.4258226 37.7329915, -121.425827 37.7330866, -121.4259611 37.7330828, -121.4259485 37.7328065, -121.4258669 37.7328088, -121.4258154 37.7328103, -121.4258196 37.7329012, -121.4258509 37.7329004))",,"[8847045318, 8847045319, 8847045320, 8847045321, 8847045322, 8847045323, 9710493497, 8847045324, 8847045325, 8847045318]",,,,,,,,,house,,,,,,,,,,,,,,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
